192.175.48.1/32 #AS9218 WISEVANGUARD-AS-AP WISEVAN GUARD Limited, WS - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
110.5.112.0/22 #AS17993 VODAFONESAMOA-AS-AP Vodafone Samoa Limited, WS
202.4.32.0/19 #AS17993 VODAFONESAMOA-AS-AP Vodafone Samoa Limited, WS
203.99.255.0/24 #AS17993 VODAFONESAMOA-AS-AP Vodafone Samoa Limited, WS
123.176.72.0/21 #AS38227 CSLSAMOA-WS-AS-AP Computer Services Limited CSL, WS
182.50.72.0/22 #AS38227 CSLSAMOA-WS-AS-AP Computer Services Limited CSL, WS
103.131.62.0/23 #AS38800 DIGICELSAMOA-WS-AS-AP Digicel Samoa Ltd, WS
103.154.194.0/23 #AS38800 DIGICELSAMOA-WS-AS-AP Digicel Samoa Ltd, WS
182.50.168.0/22 #AS38800 DIGICELSAMOA-WS-AS-AP Digicel Samoa Ltd, WS
202.87.208.0/22 #AS38800 DIGICELSAMOA-WS-AS-AP Digicel Samoa Ltd, WS
203.99.156.0/22 #AS38800 DIGICELSAMOA-WS-AS-AP Digicel Samoa Ltd, WS
192.175.48.1/32 #AS55579 CSLSAMOA-AS-AP Computer Services Ltd, WS - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
